Vote,Result,Question,Issue,Date
11 (51-47),Rejected,"On the Motion S.Amdt. 167: Motion to Waive All Applicable Budgetary Discipline Re: Heller Amdt. No. 167; To establish a deficit-neutral reserve fund relating to strengthening Social Security and repealing Obamacare, which has increased health care costs, raised taxes on middle-class families, reduced access to high quality care, created disincentives for work, and caused tens of thousands of Americans to lose coverage they had and liked, and replacing it with patient-centered, step-by-step health reforms that provide access to quality, affordable private health care coverage for all American's and their families by increasing competition, State flexibility and individual choice, and safeguarding consumer protections that Americans support.",S.Con.Res. 3,Jan 11
12 (48-50),Rejected,On the Motion S.Amdt. 81: Motion to Waive the CBA Re: Baldwin Amdt. No. 81; To create a point of order against legislation that makes young people sick again.,S.Con.Res. 3,Jan 11
13 (50-48),Rejected,"On the Motion S.Amdt. 176: Motion to Waive All Applicable Budgetary Discipline Re: Flake Amdt. No. 176; To establish a deficit-neutral reserve fund relating to enhancing health care and housing for veterans and their dependents by repealing Obamacare, facilitating medical facility leases, and prohibiting the Secretary of Veterans Affairs from employing individuals who have been convicted of a felony and medical personnel who have ever had their medical licenses or credentials revoked or suspended.",S.Con.Res. 3,Jan 11
14 (48-50),Rejected,On the Motion S.Amdt. 104: Motion to Waive the C.B.A. Re: Tester Amdt. No. 104; To create a point of order against legislation that would limit veterans' ability to choose VA health care.,S.Con.Res. 3,Jan 11
15 (49-49),Rejected,On the Motion S.Amdt. 61: Motion to Waive the C.B.A. Re: Casey Amdt. No. 61; To create a point of order against legislation that would make people with disabilities and chronic conditions sick again.,S.Con.Res. 3,Jan 11
16 (47-51),Rejected,"On the Motion S.Amdt. 181: Motion to Waive All Applicable Budgetary Discipline Re: Barrasso Amdt. No. 181; To establish a deficit-neutral reserve fund relating to strengthening Social Security and repealing and replacing Obamacare, which has increased health care costs, raised taxes on middle class families, reduced access to high-quality care, created disincentives for work, and caused tens of thousands of Americans to lose coverage they had and liked, and replacing Obamacare with patient-centered, step-by-step health reforms that provide access to quality, affordable private health care coverage for all Americans, including people with disabilities and chronic conditions, and their families, by increasing competition, State flexibility, and individual choice, and safe-guarding consumer protections, such as a ban on lifetime limits, that Americans support.",S.Con.Res. 3,Jan 11
17 (51-47),Rejected,"On the Motion S.Amdt. 179: Motion to Waive All Applicable Budgetary Discipline Re: Hatch Amdt. No. 179; To establish a deficit-neutral reserve fund relating to reforming housing and Medicaid without prioritizing able-bodied adults over the disabled or raiding the Medicare Trust Funds to pay for new government programs, like Obamacare, which has failed Americans by increasing premiums and reducing affordable health care options.",S.Con.Res. 3,Jan 11
18 (48-50),Rejected,On the Motion S.Amdt. 83: Motion to Waive All Applicable Budgetary Discipline Re: Menendez Amdt. No. 83; To create a point of order against legislation that would eliminate or reduce Federal funding to States under the Medicaid expansion.,S.Con.Res. 3,Jan 11
19 (49-49),Rejected,"On the Motion S.Amdt. 174: Motion to Waive All Applicable Budgetary Discipline Re: Alexander Amdt. No. 174; To strengthen Social Security and Medicare without raiding them to pay for new government programs, like Obamacare, that have failed Americans by increasing premiums and reducing affordable health care options, to reform Medicaid without prioritizing able-bodied adults over the disabled, and to ensure that any importation does not increase risk to public health according to the Secretary of Health and Human Services.",S.Con.Res. 3,Jan 11
20 (46-52),Rejected,On the Amendment S.Amdt. 178: Klobuchar Amdt. No. 178; To establish a deficit-neutral reserve fund relating to lower prescription drug prices for Americans by importing drugs from Canada.,S.Con.Res. 3,Jan 11
21 (47-51),Rejected,On the Motion S.Amdt. 188: Motion to Waive the C.B.A. Re: Wyden Amdt. No. 188; To create a point of order against legislation that does not lower drug prices.,S.Con.Res. 3,Jan 11
22 (52-46),Rejected,"On the Motion S.Amdt. 184: Motion to Waive All Applicable Budgetary Discipline Re: Fischer Amdt. No. 184; To establish a deficit-neutral reserve fund relating to strengthening Social Security or health care for women, which may include strengthening community health centers, and repealing and replacing Obamacare.",S.Con.Res. 3,Jan 11
23 (49-49),Rejected,On the Motion S.Amdt. 82: Motion to Waive the C.B.A. Re: Gillibrand Amdt. No. 82; To create a point of order against legislation that makes women sick again.,S.Con.Res. 3,Jan 12
24 (51-47),Rejected,"On the Motion S.Amdt. 180: Motion to Waive All Applicable Budgetary Discipline Re: Hatch Amdt. No. 180; To establish a deficit-neutral reserve fund relating to strengthening Social Security and repealing and replacing Obamacare, which has increased health care costs, raised taxes on middle-class families, reduced access to high quality care, created disincentives for work, and caused tens of thousands of Americans to lose coverage they had and liked, and replacing it with reforms that strengthen Medicaid and the Children's Health Insurance Program without prioritizing able-bodied adults over the disabled or children and lead to patient-centered step-by-step health reforms that provide access to quality, affordable private health care coverage for all Americans and their families by increasing competition, State flexibility, and individual choice, and safe-guarding consumer protections that Americans support.",S.Con.Res. 3,Jan 12
25 (49-49),Rejected,"On the Motion S.Amdt. 86: Motion to Waive the C.B.A. Re: Brown Amdt. No. 86; To create a point of order against legislation that would undermine the historic coverage gains the United States has made in children's health, which have resulted in the lowest uninsured rate for children in the Nation's history.",S.Con.Res. 3,Jan 12
26 (51-48),Agreed to,On the Concurrent Resolution: S. Con. Res. 3; A concurrent resolution setting forth the congressional budget for the United States Government for fiscal year 2017 and setting forth the appropriate budgetary levels for fiscal years 2018 through 2026.,S.Con.Res. 3,Jan 12
27 (81-17),Passed,On Passage of the Bill: S. 84; A bill to provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,S. 84,Jan 12
28 (99-0),Passed,On Passage of the Bill: H.R. 72; A bill to ensure the Government Accountability Office has adequate access to information.,H.R. 72,Jan 17
29 (98-1),Confirmed,"On the Nomination: Confirmation James N. Mattis, of Washington, to be Secretary of Defense",PN29,Jan 20
30 (88-11),Confirmed,"On the Nomination: Confirmation John F. Kelly, of Virginia, to be Secretary of Homeland Security",PN40,Jan 20
31 (89-8),Agreed to,"On the Motion to Proceed: Motion to Proceed to Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency",PN43,Jan 20
32 (66-32),Confirmed,"On the Nomination: Confirmation Mike Pompeo, of Kansas, to be Director of the Central Intelligence Agency",PN43,Jan 23
33 (96-4),Confirmed,"On the Nomination: Confirmation Nikki R. Haley, of South Carolina, to be Representative of the United States of America to the United Nations, in the Security Council and to the Sessions of the General Assembly",PN51,Jan 24
34 (56-43),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Rex W. Tillerson, of Texas, to be Secretary of State",PN25,Jan 30
35 (93-6),Confirmed,"On the Nomination: Confirmation Elaine L. Chao, of Kentucky, to be Secretary of Transportation",PN35,Jan 31
36 (56-43),Confirmed,"On the Nomination: Confirmation Rex W. Tillerson, of Texas, to be Secretary of State",PN25,Feb 01
37 (55-43),Agreed to,On the Motion to Table: Motion to Table the Motion to Reconsider the Vote on Confirmation of Rex W. Tillerson,PN25,Feb 01
38 (53-44),Agreed to,On the Motion to Proceed: Motion to Proceed to Legislative Session,PN25,Feb 01
39 (54-44),Agreed to,On the Motion: Shall the Journal Stand Approved to Date?,PN25,Feb 01
40 (52-47),Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session to Consider Elisabeth DeVos to be Secretary of Education,PN37,Feb 01
41 (55-42),Agreed to,On the Motion to Proceed: Motion to Proceed to Legislative Session,PN37,Feb 01
42 (56-42),Agreed to,On the Motion to Proceed: Motion to Proceed to H.J. Res. 38; A joint resolution disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,H.J.Res. 38,Feb 01
43 (54-45),Passed,On the Joint Resolution: H.J.Res. 38; A joint resolution disapproving the rule submitted by the Department of the Interior known as the Stream Protection Rule.,H.J.Res. 38,Feb 02
44 (53-45),Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session to consider the Nomination of Jeff Sessions to be Attorney General,PN30,Feb 02
45 (51-47),Agreed to,On the Motion to Proceed: Motion to Proceed to Legislative Session,PN30,Feb 02
46 (51-48),Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session to Consider the Nomination of Thomas Price to be Secretary of Health and Human Services,PN33,Feb 02
47 (52-47),Agreed to,On the Motion to Proceed: Motion to Proceed to Legislative Session,PN33,Feb 02
48 (51-48),Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session to Consider the Nomination of Steven Mnuchin to be Secretary of the Treasury,PN26,Feb 02
49 (52-48),Agreed to,On the Motion to Proceed: Motion to Proceed to Legislative Session,PN26,Feb 02
50 (52-48),Agreed to,"On the Motion to Proceed: Motion to Proceed to H.J. Res. 41; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"".",H.J.Res. 41,Feb 02
51 (52-47),Passed,"On the Joint Resolution: H.J.Res. 41; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of a rule submitted by the Securities and Exchange Commission relating to ""Disclosure of Payments by Resource Extraction Issuers"".",H.J.Res. 41,Feb 03
52 (52-48),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Elisabeth DeVos to be Secretary of Education,PN37,Feb 03
53 (91-4),Agreed to,On the Motion for Attendance: Motion to Instruct the Sgt-At-Arms to Request the Attendance of Absentee Senators,PN37,Feb 06
54 (50-50),Confirmed,"On the Nomination: Confirmation Elisabeth Prince DeVos, of Michigan, to be Secretary of Education",PN37,Feb 07
55 (52-47),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Jeff Sessions, of Alabama, to be Attorney General",PN30,Feb 07
56 (88-3),Agreed to,On the Motion for Attendance: Motion to Instruct the Sgt-At-Arms to Request the Attendance of Absentee Senators,PN30,Feb 07
57 (49-43),Sustained,On the Decision of the Chair: Shall the Decision of the Chair Stand as the Judgment of the Senate?,PN30,Feb 07
58 (43-50),Rejected,On the Motion: Shall the Senator be Permitted to Proceed in Order?,PN30,Feb 07
59 (52-47),Confirmed,"On the Nomination: Confirmation Jeff Sessions, of Alabama, to be Attorney General",PN30,Feb 08
60 (51-48),Agreed to,On the Cloture Motion: Motion to Invoke Cloture Re: Nomination of Tom Price to be Secretary of Health and Human Services,PN33,Feb 08
61 (52-47),Confirmed,"On the Nomination: Confirmation Thomas Price, of Georgia, to be Secretary of Health and Human Services",PN33,Feb 10
62 (53-46),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Steven T. Mnuchin, of California, to be Secretary of the Treasury",PN26,Feb 10
63 (53-47),Confirmed,"On the Nomination: Confirmation Steven T. Mnuchin, of California, to be Secretary of the Treasury",PN26,Feb 13
64 (100-0),Confirmed,"On the Nomination: Confirmation David J. Shulkin, of Pennsylvania, to be Secretary of Veterans Affairs",PN39,Feb 13
65 (81-19),Confirmed,"On the Nomination: Confirmation Linda E. McMahon, of Connecticut, to be Administrator of the Small Business Administration",PN48,Feb 14
66 (57-43),Passed,"On the Joint Resolution: H.J.Res. 40; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Social Security Administration relating to Implementation of the NICS Improvement Amendments Act of 2007.",H.J.Res. 40,Feb 15
67 (52-48),Agreed to,On the Cloture Motion: Motion to Invoke Cloture: Mick Mulvaney to be Director of the Office of Management and Budget,PN54,Feb 15
68 (51-49),Confirmed,"On the Nomination: Confirmation Mick Mulvaney, of South Carolina, to be Director of the Office of Management and Budget",PN54,Feb 16
69 (54-46),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture re: Nomination of Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",PN44,Feb 16
70 (47-51),Rejected,On the Motion: Motion to Extend Debate Re: Pruitt Nomination,PN44,Feb 17
71 (52-46),Confirmed,"On the Nomination: Confirmation Scott Pruitt, of Oklahoma, to be Administrator of the Environmental Protection Agency",PN44,Feb 17
72 (66-31),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on Wilbur L. Ross, Jr., of Florida, to be Secretary of Commerce",PN32,Feb 17
73 (72-27),Confirmed,"On the Nomination: Confirmation Wilbur L. Ross, Jr., of Florida, to be Secretary of Commerce",PN32,Feb 27
74 (67-31),Agreed to,On the Cloture Motion: Motion to Invoke Cloture Re: Nomination of Ryan Zinke to be Secretary of the Interior,PN31,Feb 27
75 (68-31),Confirmed,"On the Nomination: Confirmation Ryan Zinke, of Montana, to be Secretary of the Interior",PN31,Mar 01
76 (62-37),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Ben Carson to be Secretary of Housing and Urban Development,PN34,Mar 01
77 (58-41),Confirmed,"On the Nomination: Confirmation Benjamin S. Carson, Sr., of Florida, to be Secretary of Housing and Urban Development",PN34,Mar 02
78 (62-37),Agreed to,On the Cloture Motion: Motion to Invoke Cloture Re: James Richard Perry to be Secretary of Energy,PN36,Mar 02
79 (62-37),Confirmed,"On the Nomination: Confirmation James Richard Perry, of Texas, to be Secretary of Energy",PN36,Mar 02
80 (51-46),Agreed to,"On the Motion to Proceed: Motion to Proceed to H. J. Res. 37; A joint resolution disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.",H.J.Res. 37,Mar 02
81 (49-48),Passed,"On the Joint Resolution: H. J. Res. 37; A joint resolution disapproving the rule submitted by the Department of Defense, the General Services Administration, and the National Aeronautics and Space Administration relating to the Federal Acquisition Regulation.",H.J.Res. 37,Mar 06
82 (51-48),Passed,"On the Joint Resolution: H.J. Res. 44; A joint resolution disapproving the rule submitted by the Department of the Interior relating to Bureau of Land Management regulations that establish the procedures used to prepare, revise, or amend land use plans pursuant to the Federal Land Policy and Management Act of 1976.",H.J.Res. 44,Mar 07
83 (59-40),Passed,"On the Joint Resolution: H. J. Res. 58; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to teacher preparation issues.",H.J.Res. 58,Mar 08
84 (50-49),Passed,"On the Joint Resolution: H.J. Res. 57; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to accountability and State plans under the Elementary and Secondary Education Act of 1965.",H.J.Res. 57,Mar 09
85 (54-44),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Seema Verma to be Administrator of the Centers for Medicare and Medicaid Services,PN49,Mar 09
86 (55-43),Confirmed,"On the Nomination: Confirmation Seema Verma, of Indiana, to be Administrator of the Centers for Medicare and Medicaid Services",PN49,Mar 13
87 (51-48),Passed,On the Joint Resolution: H. J. Res. 42; A joint resolution disapproving the rule submitted by the Department of Labor relating to drug testing of unemployment compensation applicants.,H.J.Res. 42,Mar 14
88 (88-11),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on Daniel Coats, of Indiana, to be Director of National Intelligence",PN41,Mar 15
89 (85-12),Confirmed,"On the Nomination: Confirmation Daniel Coats, of Indiana, to be Director of National Intelligence",PN41,Mar 15
90 (86-10),Confirmed,"On the Nomination: Confirmation Lt. Gen. Herbert R. McMaster, Jr. to be Lieutenant General",PN87,Mar 15
91 (98-0),Confirmed,"On the Nomination: Confirmations Charles R. Breyer, of California, and Danny C. Reeves, of Kentucky, to be Members of the United States Sentencing Commission",PN85,Mar 21
92 (52-47),Passed,"On the Joint Resolution: H.J. Res. 69; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Department of the Interior relating to ""Non-Subsistence Take of Wildlife, and Public Participation and Closure Procedures, on National Wildlife Refuges in Alaska"".",H.J.Res. 69,Mar 21
93 (50-48),Passed,"On the Joint Resolution: H.J.Res. 83; A joint resolution disapproving the rule submitted by the Department of Labor relating to ""Clarification of Employer's Continuing Obligation to Make and Maintain an Accurate Record of Each Recordable Injury and Illness"".",H.J.Res. 83,Mar 22
94 (50-48),Passed,"On the Joint Resolution: S.J. Res. 34; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Federal Communications Commission relating to ""Protecting the Privacy of Customers of Broadband and Other Telecommunications Services"".",S.J.Res. 34,Mar 23
95 (52-46),Agreed to,On the Cloture Motion: Motion to Invoke Cloture re Nomination of David Friedman to be Ambassador to Israel,PN53,Mar 23
96 (52-46),Confirmed,"On the Nomination: Confirmation David Friedman, of New York, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to Israel",PN53,Mar 23
97 (97-2),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on Treaty Doc. 114-12; Protocol to the North Atlantic Treaty of 1949 on the Accession of Montenegro,Treaty Doc. 114-12,Mar 27
98 (97-2),Agreed to,On the Resolution of Ratification: Resolution of Advice and Consent to Ratification (Treaty Doc. 114-12); Protocol to the North Atlantic Treaty of 1949 on the Accession of Montenegro,Treaty Doc. 114-12,Mar 28
99 (50-49),Passed,On the Joint Resolution: H.J. Res. 67; A joint resolution disapproving the rule submitted by the Department of Labor relating to savings arrangements established by qualified State political subdivisions for non-governmental employees.,H.J.Res. 67,Mar 30
100 (50-50),Agreed to,"On the Motion to Proceed: Motion to Proceed to H.J. Res. 43; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.",H.J.Res. 43,Mar 30
101 (50-50),Passed,"On the Joint Resolution: H.J. Res. 43; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.",H.J.Res. 43,Mar 30
102 (85-12),Passed,"On Passage of the Bill: S. 89; A bill to amend title 46, United States Code, to exempt old vessels that only operate within inland waterways from the fire-retardant materials requirement if the owners of such vessels make annual structural alterations to at least 10 percent of the areas of the vessels that are not constructed of fire-retardant materials and for other purposes.",S. 89,Apr 03
103 (85-14),Confirmed,"On the Nomination: Confirmation Elaine C. Duke, of Virginia, to be Deputy Secretary of Homeland Security",PN59,Apr 04
104 (55-44),Agreed to,On the Motion to Proceed: Motion to Proceed to Executive Session to Consider the Nomination of Neil Gorsuch,PN55,Apr 04
105 (55-45),Rejected,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",PN55,Apr 06
106 (55-45),Agreed to,On the Motion to Reconsider: Motion to Reconsider the Vote By Which the Motion to Invoke Cloture on the Nomination of Neil M. Gorsuch Was Not Invoked,PN55,Apr 06
107 (48-52),Rejected,"On the Motion to Postpone: Motion to Postpone the Motion to Invoke Cloture, Upon Reconsideration, of the Nomination of Neil M. Gorsuch Until a Time Certain",PN55,Apr 06
108 (48-52),Rejected,On the Motion to Adjourn: Schumer Motion to Adjourn Until 5:00 P.M.,PN55,Apr 06
109 (48-52),Not Sustained,On the Decision of the Chair: Shall the Decision of the Chair Stand as the Judgment of the Senate?,PN55,Apr 06
110 (55-45),Agreed to,"On the Cloture Motion: Upon Reconsideration, Motion to Invoke Cloture on the Nomination of Neil M. Gorsuch of Colorado, to be an Associate Justice of the Supreme Court of the United States",PN55,Apr 06
111 (54-45),Confirmed,"On the Nomination: Confirmation Neil M. Gorsuch, of Colorado, to be an Associate Justice of the Supreme Court of the United States",PN55,Apr 07
112 (87-11),Confirmed,"On the Nomination: Confirmation Sonny Perdue, of Georgia, to be Secretary of Agriculture",PN90,Apr 24
113 (92-6),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Rod J. Rosenstein, of Maryland, to be Deputy Attorney General",PN56,Apr 24
114 (94-6),Confirmed,"On the Nomination: Confirmation Rod J. Rosenstein, of Maryland, to be Deputy Attorney General",PN56,Apr 25
115 (61-39),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of R. Alexander Acosta, of Florida, to be Secretary of Labor",PN88,Apr 26
116 (60-38),Confirmed,"On the Nomination: Confirmation R. Alexander Acosta, of Florida, to be Secretary of Labor",PN88,Apr 27
117 (60-36),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission",PN47,May 01
118 (61-37),Confirmed,"On the Nomination: Confirmation Jay Clayton, of New York, to be a Member of the Securities and Exchange Commission",PN47,May 02
119 (51-48),Agreed to,On the Motion to Proceed: Motion to Proceed to the Consideration of H.J. Res. 66; A joint resolution disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,H.J.Res. 66,May 03
120 (50-49),Passed,On the Joint Resolution: H. J. Res. 66; A joint resolution disapproving the rule submitted by the Department of Labor relating to savings arrangements established by States for non-governmental employees.,H.J.Res. 66,May 03
121 (79-18),Agreed to,"On the Motion: Motion to Concur in the House Amendment to the Senate Amendment to H.R. 244; To encourage effective, voluntary investments to recruit, employ, and retain men and women who have served in the United States military with annual Federal awards to employers recognizing such efforts, and for other purposes.",H.R. 244,May 04
122 (76-22),Confirmed,"On the Nomination: Confirmation Heather Wilson, of South Dakota, to be Secretary of the Air Force",PN101,May 08
123 (57-41),Agreed to,On the Cloture Motion: Motion to Invoke Cloture On the Nomination of Scott Gottlieb to be Commissioner of Food and Drugs,PN118,May 08
124 (57-42),Confirmed,"On the Nomination: Confirmation Scott Gottlieb, of Connecticut, to be Commissioner of Food and Drugs, Department of Health and Human Services",PN118,May 09
125 (49-51),Rejected,"On the Motion to Proceed: Motion to Proceed to H. J. Res. 36; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule of the Bureau of Land Management relating to ""Waste Prevention, Production Subject to Royalties, and Resource Conservation"".",H.J.Res. 36,May 10
126 (81-15),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Robert Lighthizer, of Florida, to be United States Trade Representative",PN42,May 11
127 (82-14),Confirmed,"On the Nomination: Confirmation Robert Lighthizer, of Florida, to be United States Trade Representative",PN42,May 11
128 (52-42),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Jeffrey A. Rosen to be Deputy Secretary of Transportation,PN102,May 15
129 (56-42),Confirmed,"On the Nomination: Confirmation Jeffrey A. Rosen, of Virginia, to be Deputy Secretary of Transportation",PN102,May 16
130 (51-47),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Rachel L. Brand, of Iowa, to be Associate Attorney General",PN57,May 17
131 (52-46),Confirmed,"On the Nomination: Confirmation: Rachel L. Brand, of Iowa, to be Associate Attorney General",PN57,May 18
132 (86-12),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Terry Branstad, of Iowa, to be Ambassador to the People's Republic of China ",PN52,May 18
133 (82-13),Confirmed,"On the Nomination: Confirmation Terry Branstad, of Iowa, to be Ambassador to the People's Republic of China",PN52,May 22
134 (93-6),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of John. J. Sullivan to be Deputy Secretary of State,PN350,May 23
135 (94-6),Confirmed,"On the Nomination: Confirmation: John J. Sullivan, of Maryland, to be Deputy Seretary of State",PN350,May 24
136 (52-48),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Nomination of Amul R. Thapar to be U.S. Circuit Judge,PN105,May 24
137 (52-44),Confirmed,"On the Nomination: Confirmation Amul R. Thapar, of Kentucky, to be United States Circuit Judge",PN105,May 25
138 (90-0),Agreed to,On the Resolution: S. Res. 176; A resolution commemorating the 50th anniversary of the reunification of Jerusalem.,S.Res. 176,Jun 05
139 (67-33),Confirmed,"On the Nomination: Courtney Elwood, of Virginia, to be General Counsel of the Central Intelligence Agency",PN104,Jun 06
140 (91-8),Agreed to,On the Cloture Motion: Motion to Invoke Cloture on the Motion to Proceed to S. 722; An Act to Provide Congressional Review and to Counter Iranian and Russian Governments' Aggression.,S. 722,Jun 07
141 (94-4),Confirmed,"On the Nomination: Confirmation: Scott P. Brown, of New Hampshire, to be Ambassador to New Zealand and Ambassador to the Independent State of Samoa",PN349,Jun 08
142 (95-1),Confirmed,"On the Nomination: Confirmation Kenneth P. Rapuano, of Virginia, to be Assistant Secretary of Defense",PN348,Jun 12
143 (47-53),Rejected,On the Motion to Discharge: Motion to Discharge S. J. Res. 42; A joint resolution relating to the disapproval of the proposed export to the Government of the Kingdom of Saudi Arabia of certain defense articles.,S.J.Res. 42,Jun 13
144 (97-2),Agreed to,On the Amendment S.Amdt. 232: Crapo Amdt. No. 232 As Modified; To impose sanctions with respect to the Russian Federation and to combat terrorism and illicit financing.,S. 722,Jun 14
145 (94-6),Agreed to,On the Amendment S.Amdt. 250: Gardner Amdt. No. 250 As Modified; To provide an exception for activities of the National Aeronautics and Space Administration.,S. 722,Jun 15
146 (100-0),Agreed to,On the Amendment S.Amdt. 240: Graham Amdt. No. 240; To reaffirm the strategic importance of Article 5 of the North Atlantic Treaty to the member nations of the North Atlantic Treaty Organization and its contribution to maintaining stability throughout the world.,S. 722,Jun 15
147 (98-2),Passed,On Passage of the Bill: S. 722 As Amended; An Act to Provide Congressional Review and to Counter Iranian and Russian Governments' Aggression.,S. 722,Jun 15
148 (95-4),Confirmed,"On the Nomination: Confirmation Brock Long, of North Carolina, to be Administrator of the Federal Emergency Management Agency",PN455,Jun 20
149 (94-5),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on Sigal Mandelker, of New York, to be Under Secretary for Terrorism and Financial Crimes",PN172,Jun 20
150 (96-4),Confirmed,"On the Nomination: Confirmation Sigal Mandelker, of New York, to be Under Secretary for Terrorism and Financial Crimes",PN172,Jun 21
151 (65-34),Agreed to,On the Cloture Motion: Motion to Invoke Cloture Re: Marshall Billingslea to be Assistant Secretary for Terrorist Financing,PN366,Jun 21
