Vote,Result,Question,Issue,Date
20 (55-42),Agreed to,"On the Motion to Table S.Amdt. 27: Motion to Table Feinstein Amendment No. 27, as modified; To make an amendment with respect to extensions of credit to underage consumers.",S. 420,Mar 13
21 (61-37),Agreed to,On the Motion to Table S.Amdt. 39: Motion to Table Kennedy Amdt. No. 39; To remove the dollar limitation on retirement savings protected in bankruptcy.,S. 420,Mar 13
22 (53-47),Rejected,On the Motion S.Amdt. 29: Motion to Waive CBA re: Conrad Amendment No. 29; To establish an off-budget lockbox to strengthen Social Security and Medicare.,S. 420,Mar 13
23 (52-48),Rejected,On the Motion S.Amdt. 32: Motion to Waive CBA re: Sessions Amendment No. 32; To establish a procedure to safeguard the surpluses of the Social Security and Medicare hospital insurance trust funds.,S. 420,Mar 13
24 (44-55),Rejected,"On the Motion to Table S.Amdt. 25: Motion to Table Schumer Amendment No. 25, as modified; To make an amendment with respect to the preservation of claims and defenses upon the sale or transfer of a predatory loan.",S. 420,Mar 13
25 (58-41),Agreed to,On the Motion to Table S.Amdt. 75: Motion to Table Dodd Amdt. No. 75; To amend the Truth in Lending Act with respect to extensions of credit to consumers under the age of 21.,S. 420,Mar 13
26 (67-30),Agreed to,On the Motion to Table S.Amdt. 78: Motion to Table Wyden Amendment No. 78; To provide for the nondischargeability of debts arising from the exchange of electric energy.,S. 420,Mar 14
27 (64-35),Agreed to,On the Motion to Table S.Amdt. 93: Motion to Table Durbin Amendment No. 93; To provide a complete substitute.,S. 420,Mar 14
28 (58-41),Agreed to,"On the Motion to Table S.Amdt. 36: Motion to Table Wellstone Amdt. No. 36, as modified; To disallow certain claims and prohibit coercive debt collection practices.",S. 420,Mar 14
29 (80-19),Agreed to,"On the Cloture Motion: Motion to Invoke Cloture on S.420; An original bill to amend title 11, United States Code, and for other purposes.",S. 420,Mar 14
30 (39-60),Rejected,"On the Motion to Table S.Amdt. 68: Motion to Table Kohl Amdt. No. 68; To limit the value of certain real and personal property that a debtor may elect to exempt under State or local law, and for other purposes.",S. 420,Mar 15
31 (99-0),Agreed to,"On the Amendment S.Amdt. 41: Leahy Amendment No. 14, As Modified; To protect the identities of minor children in bankruptcy proceedings.",S. 420,Mar 15
32 (56-43),Agreed to,On the Amendment S.Amdt. 19: Leahy Amendment No. 19; To correct the treatment of certain spousal income for purposes of means testing.,S. 420,Mar 15
33 (22-77),Rejected,On the Amendment S.Amdt. 70: Wellstone Amendment No. 70; To change the relevant time period in determining current monthly income.,S. 420,Mar 15
34 (36-63),Rejected,"On the Amendment S.Amdt. 71: Wellstone Amdt. No. 71; To address the acceptable period of time between the filing of petitions for relief under chapter 12 of title 11, United States Code.",S. 420,Mar 15
35 (79-18),Agreed to,"On the Amendment S.Amdt. 51: Feingold Amendment No. 51, As Modified; To strike section 1310, relating to barring certain foreign judgments.",S. 420,Mar 15
36 (83-15),Passed,"On Passage of the Bill: S.420, As Amended; An original bill to amend title 11, United States Code, and for other purposes.",S. 420,Mar 15
37 (51-48),Agreed to,On the Motion to Table S.Amdt. 112: Motion To Table Domenici Amendment No. 112; To increase contribution limits in response to candidate's use of personal wealth and limit time to use contributions to repay personal loans to campaigns.,S. 27,Mar 19
38 (70-30),Agreed to,On the Amendment S.Amdt. 115: Domenici Amendment No. 115; To amend the Federal Election Campaign Act of 1971 to modify contribution limits in response to expenditures of a candidate from personal funds.,S. 27,Mar 20
39 (37-63),Rejected,On the Amendment S.Amdt. 117: Bennett Amdt. No. 117; To amend the Federal Election Campaign Act of 1971 to prohibit separate segregated funds and nonconnected political committees from using soft money to subsidize hard dollar fundraising.,S. 27,Mar 20
40 (74-25),Agreed to,On the Motion to Table S.Amdt. 118: Motion to Table Smith (OR) Amdt. No. 118; To prohibit candidates and Members of Congress from accepting certain contributions while Congress is in session.,S. 27,Mar 20
41 (69-31),Agreed to,"On the Amendment S.Amdt. 122: Torricelli Amendment No. 122; To amend the Communications Act of 1934 to require television broadcast stations, and providers of cable or satellite television service, to provide lowest unit rate to committees of political parties purchasing time on behalf of candidates.",S. 27,Mar 21
42 (36-64),Rejected,On the Amendment S.Amdt. 123: Wellstone Amdt. No. 123; To allow a State to enact voluntary public financing legislation regarding the election of Federal candidates in such State.,S. 27,Mar 21
43 (69-31),Agreed to,On the Motion to Table S.Amdt. 134: Motion to Table Hatch Amdt. No. 134; To strike section 304 and add a provision to require disclosure to and consent by shareholders and members regarding use of funds for political activities.,S. 27,Mar 21
44 (60-40),Agreed to,On the Motion to Table S.Amdt. 136: Motion to Table Hatch Amdt. No. 136; To add a provision to require disclosure to shareholders and members regarding use of funds for political activities.,S. 27,Mar 22
45 (99-0),Agreed to,On the Amendment S.Amdt. 139: Nickles Amdt. No. 139; To strike section 304.,S. 27,Mar 22
46 (53-40),Agreed to,"On the Motion to Table S.Amdt. 141: Motion to Table Helms Amdt. No. 141, as modified; To require labor organizations to provide notice to members concerning their rights with respect to the expenditure of funds for activities unrelated to collective bargaining.",S. 27,Mar 23
47 (40-56),Rejected,On the Joint Resolution: S.J.Res. 4; A joint resolution proposing an amendment to the Constitution of the United States relating to contributions and expenditures intended to affect elections.,S.J.Res. 4,Mar 26
48 (51-46),Agreed to,On the Amendment S.Amdt. 145: Wellstone Amendment No. 145; To apply the prohibition on electioneering communications to targeted communications of certain tax-exempt organizations.,S. 27,Mar 26
49 (52-47),Agreed to,"On the Motion to Table S.Amdt. 146: Motion to Table Hagel Amendment No. 146, Division I; To amend the Federal Election Campaign Act of 1971 to provide meaningful campaign finance reform through requiring better reporting, decreasing the role of soft money, and increasing individual contribution limits, and for other purposes.",S. 27,Mar 27
50 (0-100),Rejected,"On the Motion to Table S.Amdt. 146: Motion to Table Hagel Amdt. No. 146, Division II; To amend the Federal Election Campaign Act of 1971 to provide meaningful campaign finance reform through requiring better reporting, decreasing the role of soft money, and increasing individual contribution limits, and for other purposes.",S. 27,Mar 27
51 (60-40),Agreed to,"On the Motion to Table S.Amdt. 146: Motion to Table Hagel Amdt. No. 146, Division III; To amend the Federal Election Campaign Act of 1971 to provide meaningful campaign finance reform through requiring better reporting, decreasing the role of soft money, and increasing individual contribution limits, and for other purposes.",S. 27,Mar 27
52 (30-70),Rejected,On the Amendment S.Amdt. 148: Kerry Amendment No. 148; To amend the Federal Election Campaign Act of 1971 to provide partial public financing for Senate candidates who abide by voluntary spending limits.,S. 27,Mar 27
53 (46-54),Rejected,On the Motion to Table S.Amdt. 149: Motion to Table Thompson Amendment No. 149; To modify and index contribution limits.,S. 27,Mar 28
54 (46-54),Rejected,On the Motion to Table S.Amdt. 151: Motion to Table Feinstein Amendment No. 151; To amend the Federal Election Campaign Act of 1971 to clarify individual contribution limits.,S. 27,Mar 28
55 (84-16),Agreed to,"On the Amendment S.Amdt. 149: Thompson Amdt. No. 149, as modified; To modify and index contribution limits.",S. 27,Mar 28
56 (52-48),Agreed to,On the Amendment S.Amdt. 153: Schumer Amendment No. 153; To condition the availability of television media rates for national committees of political parties on the adherence of those committees to existing coordinated spending limits.,S. 27,Mar 28
57 (28-72),Rejected,"On the Amendment S.Amdt. 152: DeWine Amdt. No. 152; To strike title II, including section 204 of such title, as added by the amendment proposed by Mr. Wellstone (Amendment No. 145).",S. 27,Mar 29
58 (32-67),Rejected,On the Amendment S.Amdt. 155: Harkin Amendment No. 155; To amend the Federal Election Campaign Act of 1971 to provide for a voluntary system of spending limits with respect to Senate election campaigns.,S. 27,Mar 29
59 (57-43),Agreed to,"On the Motion to Table S.Amdt. 156: Motion to Table Frist Amdt. No. 156, as modified; To make certain provisions nonseverable, and to provide for expedited judicial review of any provision of, or amendment made by, this Act.",S. 27,Mar 29
60 (72-28),Agreed to,On the Motion to Table S.Amdt. 158: Motion to Table Bingaman Amdt. No. 158; To provide candidates for election to Federal office with the opportunity to respond to negative political advertisements sponsored by noncandidates.,S. 27,Mar 29
61 (82-17),Agreed to,"On the Amendment S.Amdt. 61: Specter Amdt. No. 140, as further modified; No Statement of Purpose on File.",S. 420,Mar 29
62 (41-50),Rejected,"On the Amendment S.Amdt. 164: Reed Amendment No. 164, as modified; To make amendments regarding the enforcement authority  and procedures of the Federal Election Commission.",S. 27,Mar 30
63 (57-34),Agreed to,"On the Amendment S.Amdt. 165: McCain Amendment No. 165; Relating to coordination expenditure or other disbursement, a means of payment made in concert or cooperation with the candidate's authorized political committee, or their agents, or a political party committee or its agents.",S. 27,Mar 30
64 (59-41),Passed,"On Passage of the Bill: S. 27, as amended; A bill to amend the Federal Election Campaign Act of 1971 to provide bipartisan campaign reform.",S. 27,Apr 02
65 (50-50),Agreed to,On the Amendment S.Amdt. 173: Grassley Amdt. No. 173; To revise certain provisions providing for a reserve fund for prescription drugs and medicare reform in the Senate.,H.Con.Res. 83,Apr 03
66 (50-50),Rejected,"On the Amendment S.Amdt. 172: Baucus Amdt. No. 172; To establish a prescription drug benefit under Title XVIII of the Social Security Act, without using funds generated from either the Medicare or Social Security surpluses, that is voluntary; accessible to all beneficiaries; designed to assist beneficiaries with the high cost of prescription drugs, protect them from excessive out of pocket costs, and give them bargaining power in the marketplace; affordable to all beneficiaries and the program; administered using private sector entities and competitive purchasing techniques; and consistent with broader Medicare reform.",H.Con.Res. 83,Apr 03
67 (51-49),Agreed to,On the Amendment S.Amdt. 174: Grassley Amdt. No. 174; To provide for additional agriculture assistance.,H.Con.Res. 83,Apr 04
68 (47-53),Rejected,"On the Amendment S.Amdt. 176: Johnson Amdt. No. 176; To provide emergency assistance to producers of agricultural commodities in fiscal year 2001, and additional funds for farm and conservation programs during fiscal years 2002 through 2001.",H.Con.Res. 83,Apr 04
69 (53-47),Agreed to,On the Amendment S.Amdt. 185: Harkin Amdt. No. 185; To make certain that no child is left behind and to maintain fiscal discipline by making a major investment in education and a commensurate reduction in the share of tax relief given to the wealthiest one percent of Americans.,H.Con.Res. 83,Apr 04
70 (96-4),Agreed to,"On the Amendment S.Amdt. 186: Specter Amdt. No. 186; Increase descretionary health funding by $700,000,000.",H.Con.Res. 83,Apr 04
71 (47-52),Rejected,"On the Amendment S.Amdt. 188: Landrieu Amdt. No. 188; To amend the congressional budget to allow for the continued transformation of the military, to fulfill congressional commitments to provide quality health care for active and retired military families, and to continue improvements in compensation, housing, and other quality of life issues.",H.Con.Res. 83,Apr 04
72 (84-16),Agreed to,"On the Amendment S.Amdt. 189: Warner Amdt. No. 189; To increase the levels of new budget authority and budget outlays provided for the National Defense (050) major functional category for fiscal year 2002, and to make corresponding adjustments necessitated by those increases.",H.Con.Res. 83,Apr 04
73 (47-53),Rejected,On the Amendment S.Amdt. 191: Stabenow Amdt. No. 191; To eliminate further cuts in Medicare payments to home health agencies.,H.Con.Res. 83,Apr 05
74 (99-1),Agreed to,On the Amendment S.Amdt. 190: Collins Amdt. No. 190; To establish a reserve fund to eliminate further cuts in medicare payments to home health agencies.,H.Con.Res. 83,Apr 05
75 (51-49),Agreed to,On the Amendment S.Amdt. 345: Domenici Amdt. No. 345; To provide for tax relief.,H.Con.Res. 83,Apr 05
76 (39-61),Rejected,On the Amendment S.Amdt. 202: Durbin Amdt. No. 202; To call for immediate action by the United States Senate on passage of an Economic Stimulus Package in FY01 and to provide for further tax cuts in Fiscal Years 2002-11 as part of a fiscally responsible budget that ensures maximum feasible debt reduction.,H.Con.Res. 83,Apr 05
77 (46-54),Rejected,"On the Amendment S.Amdt. 257: Corzine Amdt. No. 257; To increase natural resources, environment, energy and other spending to ensure full funding of the Land Conservation, Preservation, and Infrastructure Improvement Program; to help preserve the core operating budgets of the major environmental agencies to provide appropriate funding for activities related to enforcement of environmental statutes and setting of standards that protect natural resources and the public's health; to address contaminated brownfield sites and urban sprawl and promote smart growth; to save wildlife habitat and endangered species; and to address water quality and infrastructure, global climate change, and energy security, resources and efficiency.",H.Con.Res. 83,Apr 05
78 (54-46),Rejected,On the Motion S.Amdt. 288: Motion to Waive CBA re: Voinovich Amdt. No. 288; To improve the fiscal discipline of the budget process by creating a point of order against emergency spending that does not meet the definition of an emergency requirement.,H.Con.Res. 83,Apr 05
79 (50-50),Agreed to,On the Amendment S.Amdt. 347: Hutchison Amdt. No. 347; To eliminate the marriage penalty tax.,H.Con.Res. 83,Apr 05
80 (94-6),Agreed to,"On the Amendment S.Amdt. 225: Hollings Amdt. No. 225; To provide for a $85 billion tax rebate, and for other purposes.",H.Con.Res. 83,Apr 05
81 (45-55),Rejected,On the Motion S.Amdt. 201: Motion to Waive CBA re: Allen Amdt. No. 225; To provide for a tax cut accelerator.,H.Con.Res. 83,Apr 05
82 (54-46),Agreed to,On the Amendment S.Amdt. 348: Breaux Amdt. No. 348; To increase funding for IDEA.,H.Con.Res. 83,Apr 05
83 (49-51),Rejected,On the Amendment S.Amdt. 349: Collins Amdt. No. 349; To provide tax credits for small business to purchase health insurance for their employees and to provide for the deductibility of health insurance for the self-employed and those who don't receive health insurance from their employers and for long-term care.,H.Con.Res. 83,Apr 05
84 (53-46),Agreed to,On the Amendment S.Amdt. 269: Wellstone Amendment No. 269; To increase discretionary funding for veterans medical care by $1.718 billion in 2002 and each year thereafter to ensure that veterans have access to quality medical care.,H.Con.Res. 83,Apr 06
85 (99-0),Agreed to,On the Amendment S.Amdt. 351: Bond Amdt. No. 351; Increase Veterans discretionary spending for FY02.,H.Con.Res. 83,Apr 06
86 (65-35),Agreed to,"On the Concurrent Resolution: H. Con. Res. 83, as amended; A concurrent resolution establishing the congressional budget for the United States Government for fiscal year 2002, revising the congressional budget for the United States Government for fiscal year 2001, and setting forth appropriate budgetary levels for each of fiscal years 2003 through 2011.",H.Con.Res. 83,Apr 06
87 (99-0),Passed,"On Passage of the Bill: S. 350, as amended; A bill to amend the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 to promote the cleanup and reuse of brownfields, to provide financial assistance for brownfields revitalization, to enhance State response programs, and for other purposes.",S. 350,Apr 25
88 (96-3),Agreed to,On Cloture on the Motion to Proceed: Cloture Motion on the Motion to Proceed to S.1; An original bill to extend programs and activities under the Elementary and Secondary Education Act of 1965.,S. 1,May 01
89 (100-0),Agreed to,On the Amendment S.Amdt. 359: Collins Amdt. No. 359; To improve the Read First Program.,S. 1,May 03
90 (93-7),Agreed to,On the Amendment S.Amdt. 361: Jeffords Amendment No. 361; To improve the provisions relating to certain assessments.,S. 1,May 03
91 (79-21),Agreed to,On the Amendment S.Amdt. 365: Dodd Amendment No. 365; To increase the authorization of appropriations for local educational agency grants.,S. 1,May 03
92 (57-43),Confirmed,"On the Nomination: Confirmation: John Robert Bolton, of Maryland, to be Under Secretary of State for Arms Control / International Security",PN185,May 08
93 (27-73),Rejected,On the Amendment S.Amdt. 372: Craig Amendment No. 372; To tie funding under the Elementary and Secondary Education Act of 1965 to improved student performance.,S. 1,May 08
94 (69-31),Agreed to,"On the Amendment S.Amdt. 375: Kennedy Amendment No. 375, as modified; To express the sense of the Senate regarding, and to authorize appropriations for, title II, part A of the Elementary and Secondary Education Act of 1965, with respect to the development of high-qualified teachers.",S. 1,May 08
95 (95-3),Agreed to,"On the Amendment S.Amdt. 383: Warner Amdt. No. 383, as modified; To provide a sense of the Senate regarding tax relief for elementary and secondary level educators.",S. 1,May 08
96 (50-49),Agreed to,On the Amendment S.Amdt. 379: Mikulski Amendment No. 379; To provide for the establishment of community technology centers.,S. 1,May 09
97 (98-1),Agreed to,"On the Amendment S.Amdt. 384: McConnell Amendment No. 384, as modified; To provide for teacher liability protection.",S. 1,May 09
98 (53-47),Agreed to,"On the Conference Report: H.Con.Res. 83. Conference Report; A concurrent resolution establishing the congressional budget for the United States Government for fiscal year 2002, revising the congressional budget for the United States Government for fiscal year 2001, and setting forth appropriate budgetary levels for each of fiscal years 2003 through 2011.",H.Con.Res. 83,May 10
99 (50-47),Agreed to,"On the Amendment S.Amdt. 403: Wellstone Amdt. No. 403, as modified; To modify provisions relating to State assessments.",S. 1,May 10
100 (62-34),Agreed to,"On the Amendment S.Amdt. 451: Lincoln Amdt. No. 451; To express the sense of the Senate regarding, and authorize appropriations for, part A and part D of title III of the Elementary and Secondary Education Act of 1965.",S. 1,May 10
101 (96-0),Agreed to,On the Amendment S.Amdt. 460: Reid Amdt. No. 460; To provide assistance to entities that emphasize language and life skills programs for limited English proficient students.,S. 1,May 14
102 (74-23),Agreed to,"On the Amendment S.Amdt. 376: Cleland Amdt. No. 376, as modified; To provide for school safety.",S. 1,May 14
103 (48-50),Rejected,On the Amendment S.Amdt. 378: Murray Amendment No. 378; To provide for class reduction programs.,S. 1,May 15
104 (61-36),Agreed to,"On the Amendment S.Amdt. 477: McCain Amdt. No.477; To express the sense of the Senate that S.27, the Bipartisan Campaign Reform Act of 2001, as passed by the Senate on April 2d should be engrossed and transmitted to the House of Representatives.",S. 1,May 15
105 (60-39),Agreed to,"On the Amendment S.Amdt. 563: Boxer Amdt. No. 563; To express the sense of the Senate regarding, and authorize appropriations for, part F of title I of the Elementary and Secondary Education Act of 1965.",S. 1,May 16
106 (69-30),Agreed to,"On the Amendment S.Amdt. 425: Reed Amdt. No. 425, as modified; To make amendments regarding the Reading First Program.",S. 1,May 16
107 (37-62),Rejected,On the Amendment S.Amdt. 649: Enzi Amdt. No. 649; To modify provisions relating to school construction.,S. 1,May 16
108 (49-50),Rejected,On the Amendment S.Amdt. 525: Harkin Amendment No. 525; To provide grants for the renovation of schools.,S. 1,May 16
109 (83-16),Agreed to,On the Amendment S.Amdt. 550: Hutchinson Amdt. No. 550; To liberalize the tax-exempt financing rules for public school construction.,S. 1,May 16
110 (34-65),Rejected,"On the Amendment S.Amdt. 622: Dayton Amdt. No. 622, as modified; To amend the Individuals with Disabilities Education Act to fully fund 40 percent of the average per pupil expenditure for programs under part B of such Act.",S. 1,May 17
111 (76-24),Agreed to,On the Amendment S.Amdt. 443: Voinovich Amendment No. 443; To amend the Higher Education Act of 1965 to extend loan forgiveness for certain loans to Head Start teachers.,S. 1,May 17
112 (44-56),Rejected,On the Amendment S.Amdt. 654: Conrad Amdt. No. 654; To accelerate the elimination of the marriage penalty in the standard deduction and 15-percent bracket and to modify the reduction in the marginal rate of tax.,H.R. 1836,May 17
113 (27-73),Rejected,On the Amendment S.Amdt. 659: Hutchison Amdt. No. 659; To begin the phase-in of the elimination of the marriage penalty in the standard deduction in 2002 and to offset the revenue loss.,H.R. 1836,May 17
114 (43-55),Rejected,On the Amendment S.Amdt. 669: Schumer Amdt. No. 669; To increase the deduction for higher education expenses for certain taxpayers and to increase the tax credit for student loan interest.,H.R. 1836,May 17
115 (47-51),Rejected,On the Motion S.Amdt. 656: Motion to Waive CBA  re: Gregg Amdt. No.656; To provide a temporary reduction in the maximum capital gains rate from 20 percent to 15 percent.,H.R. 1836,May 21
116 (48-50),Rejected,On the Amendment S.Amdt. 674: Carnahan Amendment No. 674; To provide a marginal tax rate reduction for all taxpayers.,H.R. 1836,May 21
117 (48-51),Rejected,On the Motion S.Amdt. 679: Motion to Waive CBA re: Rockefeller Amendment No. 679; To delay the reduction of the top income tax rate for individuals until a real Medicare prescription drug benefit is enacted.,H.R. 1836,May 21
118 (49-50),Rejected,"On the Motion S.Amdt. 685: Motion to Waive CBA  re: Bayh Amdt. No. 685, as modified; To preserve and protect the surpluses by providing a trigger to delay tax reductions and mandatory spending increases and limit discretionary spending if certain deficit targets are not met over the next 10 years.",H.R. 1836,May 21
119 (35-64),Rejected,On the Amendment S.Amdt. 687: Graham Amdt. No. 687; To provide for a substitute amendment which amends the Internal Revenue Code of 1986 to provide for a 10-percent income tax bracket.,H.R. 1836,May 21
120 (39-60),Rejected,On the Amendment S.Amdt. 688: Graham Amdt. No. 688; To provide a reduction in State estate tax revenues in proportion to the reduction in Federal estate tax revenues.,H.R. 1836,May 21
121 (41-58),Rejected,On the Motion S.Amdt. 692: Motion to Waive Wellstone Motion to Commit to the Committee on Finance; To establish a reserve account to provide funds for Federal education programs.,H.R. 1836,May 21
122 (39-60),Rejected,"On the Motion S.Amdt. 703: Motion to Waive CBA  re: Byrd Amdt. No. 703; To strike all marginal rate tax cuts except for the establishment of the 10 percent rate and strike all estate and gift tax provisions taking effect after 2006 in order to provide funds to strengthen social security, extend the solvency of the Social Security Trust Funds, maintain progressivity in the social security benefit system, continue to lift more seniors out of poverty, extend the solvency of the Medicare Trust Funds, and provide prescription drug benefits.",H.R. 1836,May 21
123 (39-60),Rejected,On the Amendment S.Amdt. 695: Dodd Amdt. No. 695; To limit the reduction in the 39.6% rate to 38% and to replace the estate tax repeal with increases in the unified credit and the family-owned business exclusion so that the savings may be used for Federal debt reduction and improvements to the Nation's nontransportation infrastructure.,H.R. 1836,May 21
124 (43-56),Rejected,"On the Amendment S.Amdt. 713: Dorgan Amendment No. 713; Replacing the estate tax repeal with a phased-in increase in the exemption amount to $4,000,000, an unlimited qualified family-owned business exclusion beginning in 2003, and a reduction in the top rate to 45 percent.",H.R. 1836,May 21
125 (43-56),Rejected,On the Motion S.Amdt. 717: Motion to Waive CBA re: Bingaman Amdt. No. 717; To provide energy conservation and production tax incentives.,H.R. 1836,May 21
126 (49-49),Rejected,On the Amendment S.Amdt. 660: McCain Amendment No. 660; To limit the reduction in the 39.6 rate bracket to 1 percentage point and to increase the maximum taxable income subject to the 15 percent rate.,H.R. 1836,May 21
127 (43-56),Rejected,On the Motion: Motion to Waive CBA  re: Motion to Commit to the Committee on Finance; A bill to provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002.,H.R. 1836,May 21
128 (11-88),Rejected,On the Motion S.Amdt. 723: Motion to Waive CBA  re: Smith (NH) Amdt. No. 723 ; To make permanent the moratorium on the imposition of taxes on the Internet.,H.R. 1836,May 21
129 (99-0),Agreed to,"On the Amendment S.Amdt. 680: Smith Amendment No. 680; To remove the limitation that certain survivor benefits can only be excluded with respect to individuals dying after December 31, 1996.",H.R. 1836,May 21
130 (48-51),Rejected,"On the Motion S.Amdt. 684: Motion to Waive CBA  re: Kennedy Amdt. No. 684; To provide that reductions of the top marginal income tax rate will not take effect unless funding is provided at the levels authorized in amendments to S. 1, Better Education for Students and Teachers Act, that have been adopted by the Senate with respect to the Individuals With Disabilities Education act, title I (State Grants for Disadvantaged Students) and part A of title II (Teacher Quality) of the Elementary and Secondary Education Act of 1965 (as amended by S. 1), and provisions of such Act concerning the education of students with limited English proficiency, and after school care in 21st Century Learning Centers.",H.R. 1836,May 21
131 (99-0),Sustained,On the Decision of the Chair: Shall the Decision Stand as Judgement of the Senate?; A bill to provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002.,H.R. 1836,May 21
132 (41-58),Rejected,On the Motion S.Amdt. 724: Motion to Waive CBA re: Feingold Amendment No. 724; To eliminate the Medicaid death tax.,H.R. 1836,May 22
133 (46-53),Rejected,On the Amendment S.Amdt. 725: Feingold Amendment No. 725; To increase the income limits applicable to the 10 percent rate bracket for individual income taxes.,H.R. 1836,May 22
134 (30-69),Rejected,On the Motion: Feingold Motion to Commit H.R. 1836 to the Committee on Finance; A bill to provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002.,H.R. 1836,May 22
135 (48-51),Rejected,On the Amendment S.Amdt. 726: Feingold Amdt. No. 726; To preserve the estate tax for estates of more than $100 million in size and increase the income limits applicable to the 10 percent rate bracket for individual income taxes.,H.R. 1836,May 22
136 (41-58),Rejected,"On the Amendment S.Amdt. 711: Lincoln Amendment No. 711; To eliminate expenditures for tuition, fees, and room and board as qualified elementary and secondary education expenses for distributions made from education individual retirement accounts.",H.R. 1836,May 22
137 (45-54),Rejected,On the Motion S.Amdt. 727: Motion to Waive the CBA re: Harkin Amendment No. 727; To delay the effective date of the reductions in the tax rate relating to the highest rate bracket until the enactment of legislation that ensures the long-term solvency of the social security and medicare trust funds.,H.R. 1836,May 22
138 (46-53),Rejected,"On the Amendment S.Amdt. 721: Kerry Amdt. No. 721; To exempt individual taxpayers with adjusted gross incomes below $100,000 from the alternative minimum tax and modify the reduction in the top marginal rate.",H.R. 1836,May 22
139 (43-56),Rejected,On the Amendment S.Amdt. 693: Lieberman Amdt. No. 693; To provide immediate tax refund checks to help boost the economy and help families pay for higher gas prices and energy bills and to modify the reduction in the maximum marginal rate of tax.,H.R. 1836,May 22
140 (43-56),Rejected,"On the Motion: Motion to Waive CBA re: Corzine Motion to Commit H.R. 1836 to the Committee on Finance, with Instructions; A bill to provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2002.",H.R. 1836,May 22
141 (46-53),Rejected,On the Amendment S.Amdt. 743: Conrad Amdt. No. 743; To increase the standard deduction and to strike the final two reductions in the 36 and 39.6 rate brackets.,H.R. 1836,May 22
142 (47-52),Rejected,On the Amendment S.Amdt. 744: Conrad Amdt. No. 744; To increase the standard deduction and to reduce the final reduction in the 39.6 percent rate bracket to 1 percentage point.,H.R. 1836,May 22
